iter	Passed	Remaining
0	9	10529
1	16	9186
2	24	8803
3	30	8347
4	38	8539
5	46	8428
6	52	8274
7	58	7934
8	63	7728
9	69	7544
10	75	7470
11	80	7308
12	86	7255
13	95	7370
14	101	7337
15	107	7250
16	112	7168
17	118	7148
18	124	7071
19	129	7009
20	134	6913
21	140	6891
22	147	6889
23	154	6924
24	160	6907
25	166	6858
26	172	6842
27	178	6821
28	183	6795
29	189	6759
30	195	6725
31	200	6705
32	206	6675
33	212	6651
34	217	6620
35	223	6603
36	228	6577
37	234	6557
38	240	6536
39	245	6512
40	251	6496
41	257	6497
42	264	6504
43	271	6518
44	277	6515
45	284	6516
46	291	6522
47	296	6503
48	302	6484
49	308	6468
50	313	6450
51	319	6434
52	325	6421
53	330	6409
54	336	6392
55	341	6375
56	347	6364
57	353	6352
58	359	6337
59	364	6322
60	370	6315
61	376	6302
62	383	6308
63	388	6296
64	394	6285
65	400	6274
66	406	6260
67	411	6249
68	417	6231
69	422	6216
70	428	6207
71	434	6196
72	439	6186
73	445	6176
74	451	6171
75	457	6158
76	462	6147
77	468	6138
78	474	6134
79	480	6128
80	485	6112
81	491	6103
82	496	6086
83	502	6072
84	507	6062
85	513	6056
86	519	6044
87	524	6035
88	530	6026
89	536	6019
90	542	6011
91	548	6006
92	554	6003
93	560	5997
94	566	5987
95	571	5979
96	577	5972
97	583	5964
98	589	5957
99	594	5949
100	600	5938
101	606	5930
102	611	5919
103	617	5913
104	623	5905
105	629	5898
106	634	5888
107	640	5883
108	646	5874
109	651	5866
110	657	5861
111	663	5853
112	669	5846
113	675	5839
114	681	5835
115	686	5827
116	692	5818
117	697	5805
118	703	5800
119	709	5792
120	714	5783
121	720	5777
122	726	5769
123	732	5761
124	737	5754
125	743	5747
126	749	5739
127	754	5733
128	760	5726
129	766	5720
130	772	5713
131	777	5704
132	783	5698
133	789	5690
134	794	5681
135	800	5674
136	806	5668
137	811	5658
138	817	5652
139	823	5645
140	829	5639
141	834	5631
142	840	5622
143	846	5617
144	851	5610
145	857	5602
146	863	5595
147	869	5590
148	874	5582
149	880	5574
150	885	5566
151	891	5561
152	897	5554
153	903	5549
154	909	5544
155	914	5536
156	919	5525
157	925	5516
158	931	5513
159	937	5509
160	943	5502
161	948	5494
162	954	5487
163	960	5479
164	965	5472
165	971	5468
166	977	5460
167	982	5452
168	988	5444
169	994	5442
170	1000	5433
171	1006	5429
172	1013	5429
173	1021	5436
174	1025	5418
175	1031	5415
176	1037	5411
177	1043	5405
178	1048	5397
179	1054	5390
180	1060	5383
181	1066	5381
182	1073	5378
183	1080	5380
184	1087	5379
185	1094	5378
186	1100	5374
187	1106	5369
188	1112	5362
189	1118	5356
190	1124	5349
191	1129	5343
192	1135	5335
193	1141	5330
194	1146	5322
195	1152	5314
196	1158	5308
197	1163	5301
198	1167	5287
199	1173	5280
200	1178	5272
201	1184	5265
202	1190	5258
203	1195	5250
204	1200	5242
205	1206	5235
206	1212	5230
207	1217	5222
208	1223	5215
209	1228	5208
210	1234	5201
211	1240	5195
212	1246	5189
213	1252	5185
214	1258	5180
215	1264	5175
216	1270	5171
217	1276	5166
218	1282	5158
219	1288	5152
220	1293	5144
221	1299	5137
222	1304	5129
223	1310	5124
224	1315	5116
225	1321	5108
226	1325	5097
227	1331	5092
228	1337	5085
229	1342	5079
230	1348	5073
231	1354	5066
232	1359	5058
233	1364	5050
234	1370	5044
235	1376	5038
236	1381	5032
237	1387	5025
238	1392	5017
239	1398	5011
240	1403	5004
241	1410	4999
242	1415	4992
243	1421	4985
244	1426	4977
245	1432	4971
246	1437	4964
247	1443	4957
248	1448	4951
249	1454	4945
250	1460	4939
251	1465	4932
252	1471	4926
253	1477	4920
254	1482	4913
255	1488	4906
256	1494	4902
257	1500	4896
